"","2.5 %","97.5 %"
".sig01",53.1670808251864,110.133167481017
".sigma",222.846592545954,223.595771009189
"(Intercept)",257.423333796852,341.539154297779
"slopes",-16.326543989761,-12.5166750990069
"slope2s",0.258870128282554,3.63139237129076
"dems",15.2000314224734,22.8245629929092
"dem2s",-11.6632188345143,-7.74804710578895
"east",-0.348384379288471,1.0856097531008
"north",1.00412986425629,2.61077393699141
"dprds",-38.1190950226302,-33.3884321661987
"dprd2s",19.5764063346596,22.5263882039204
"dsrds",28.9930790870686,33.0234757410543
"dsrd2s",-9.39637484474796,-6.86476549342684
"dsolids",35.1659379974566,40.255138765572
"dsolid2s",-32.5722843260748,-29.0140093979437
"dforests",140.444218029744,166.775844267564
"dforest2s",-6.50222253549248,-4.20715114672739
"nlcdcatbare",-98.6127904926242,-87.6764222366638
"nlcdcatdevel",-20.4004056355738,-17.2924204823098
"nlcdcatforest",14.1090876116525,17.3329570733303
"nlcdcatgrass",-24.7882048671385,-15.6781786181194
"nlcdcatshrub",2.36133279008155,12.6926076659287
"nlcdcatwater",-3.36927729415204,9.34822638141424
"nlcdcatwetland",-4.27617222135372,2.04663037360866
"tpicatridge",-30.1447640184041,-13.7435730322558
"tpicatsteep",-19.2112989557933,-3.04331359741748
"tpicatvalley",-24.9543703326407,-8.60186110732388
"tricatlow",-59.7643010590791,-36.6644879196563
"tricatmoder",-30.6804916220236,-10.2216546754275
"tricatslight",-75.3313726775204,-52.0910980914402
"tricatsmooth",-88.0134582643061,-63.74006363794
